!|ChildID|ParentID
155B9912AB     |CONDUIT-155B9912AB-0.375
B8A3A     2289S|SHEET-B8A3A-0.090
B8A3A     2436S|SHEET-B8A3A-0.120
B8A3A     2688S|SHEET-B8A3A-0.120
B8A3A     3048S|SHEET-B8A3A-0.179
B8A3A     3962S|SHEET-B8A3A-0.179
B8A3A     3966S|SHEET-B8A3A-0.060
B8A3A     3972S|SHEET-B8A3A-0.179
B8A3A     4170S|SHEET-B8A3A-0.179
B8A3A     4197S|SHEET-B8A3A-0.098
B8A3A     4310S|SHEET-B8A3A-0.125
B8A3A     4318S|SHEET-B8A3A-0.187
B8A3A     4671S|SHEET-B8A3A-0.118
B8A3A     5763S|SHEET-B8A3A-0.236
B8A3A     5766S|SHEET-B8A3A-0.157
B8A3A     5786S|SHEET-B8A3A-0.078
B8A3A     5789S|SHEET-B8A3A-0.118
B8A3A     5790S|SHEET-B8A3A-0.197
EB50E124A 0942P|PLATE-B50E124A-0.375
ENGB4A72A 0448P|PLATE-B4A72A-1.250
